Designator,Mid X,Mid Y,Rotation,Layer
_11,-21.05531,-76.136822,0.0,top
_10,-13.239235,-116.053,0.0,top
_9,-20.866349,-92.507477,0.0,top
_8,-10.871449,-103.927675,0.0,top
_7,-20.866349,-103.927675,0.0,top
_6,-18.491435,6.4642,0.0,top
_5,-15.868899,-69.759375,0.0,bottom
_4,-15.868899,-26.918041,0.0,bottom
_3,-10.349991,-76.136822,0.0,bottom
_2,-10.865397,-92.365375,0.0,bottom
,-15.868899,-5.497375,0.0,bottom
